Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Ship Duration,UnitPrice
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,81f0ac57bc6708b59ef40d3a094049df2564aeebb2a60988af9067ee8451bebf,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,3 days,130.98
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,81f0ac57bc6708b59ef40d3a094049df2564aeebb2a60988af9067ee8451bebf,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,3 days,243.98
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,12baa372aa2b34f88fe8cde5e986730d85feb52498a5e601fe276ee917aab4ca,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,2,0.0,4 days,7.31
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,79412eca913e6f34aa530cc151cb8d4ed79e6c64942cfb9d6aa86292a8890a4a,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,957.58,5,0.45,7 days,348.21
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,79412eca913e6f34aa530cc151cb8d4ed79e6c64942cfb9d6aa86292a8890a4a,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,7 days,13.98
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,5 days,6.98
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,5 days,1.82
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,907.15,6,0.2,5 days,188.99
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.5,3,0.2,5 days,7.71
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,5,0.0,5 days,22.98
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,5 days,236.97
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,911.42,4,0.2,5 days,284.82
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,8c806e3b7f7a9c3d13afbdd4d87b3ad55093acb815455a640584ba1035c94b6b,Consumer,United States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5 days,6.479999999999999
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,bded6464f097e66af40869a07c51caee720e4af4f5ac82b984629af1d21feb4f,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.98,3,0.2,5 days,169.98999999999998
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,6d98502ed8c04e84fe8f610f00a13c7b8def3b7958c1ed428ca0ccdd0d3bee4a,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,5,0.8,4 days,68.81
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,6d98502ed8c04e84fe8f610f00a13c7b8def3b7958c1ed428ca0ccdd0d3bee4a,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.54,3,0.8,4 days,4.240000000000001
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,6b28da9654cbd65c35eb9d7e0bfba9c644124a089716aadd98a56b0bc5a68ae6,Consumer,United States,Madison,Wisconsin,53711.0,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",665.88,6,0.0,7 days,110.98
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,44d366a4aa956a5e75fe58ee0acc42b40c8f0675d5ec4f4d0661a0248584fe3e,Consumer,United States,West Jordan,Utah,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,2 days,27.75
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,6de5fad21e8166544fe63cbf7ec612201109e42dc915892a25ccebf7dc9d84bd,Consumer,United States,San Francisco,California,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,5 days,4.28
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,6de5fad21e8166544fe63cbf7ec612201109e42dc915892a25ccebf7dc9d84bd,Consumer,United States,San Francisco,California,94109.0,West,TEC-PH-10001949,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,3,0.2,5 days,88.94999999999999
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,6de5fad21e8166544fe63cbf7ec612201109e42dc915892a25ccebf7dc9d84bd,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002215,office supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,5 days,7.1
